scientific_name,common_name,n
Corvus splendens,House Crow,183926
Acridotheres tristis,Common Myna,159936
Corvus macrorhynchos,Large-billed Crow,132190
Columba livia,Rock Pigeon,117223
Eudynamys scolopaceus,Asian Koel,111818
Psilopogon viridis,White-cheeked Barbet,108124
Halcyon smyrnensis,White-throated Kingfisher,105745
Ardeola grayii,Indian Pond-Heron,102572
Dicrurus macrocercus,Black Drongo,99929
Psittacula krameri,Rose-ringed Parakeet,97708
Pycnonotus jocosus,Red-whiskered Bulbul,96981
Leptocoma zeylonica,Purple-rumped Sunbird,95108
Orthotomus sutorius,Common Tailorbird,93059
Milvus migrans,Black Kite,90527
Centropus sinensis,Greater Coucal,89551
Haliastur indus,Brahminy Kite,88338
Pycnonotus cafer,Red-vented Bulbul,82644
Bubulcus ibis,Cattle Egret,81388
Copsychus saularis,Oriental Magpie-Robin,79432
Streptopelia chinensis,Spotted Dove,79290
Dendrocitta vagabunda,Rufous Treepie,68284
Microcarbo niger,Little Cormorant,66361
Turdoides affinis,Yellow-billed Babbler,59367
Vanellus indicus,Red-wattled Lapwing,58898
Prinia socialis,Ashy Prinia,57083
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,56294
Egretta garzetta,Little Egret,56119
Merops orientalis,Green Bee-eater,54837
Cinnyris asiaticus,Purple Sunbird,50266
Dinopium benghalense,Black-rumped Flameback,44572
Acrocephalus dumetorum,Blyth's Reed Warbler,41917
Hirundo rustica,Barn Swallow,41392
Pavo cristatus,Indian Peafowl,39850
Acridotheres fuscus,Jungle Myna,39356
Cypsiurus balasiensis,Asian Palm-Swift,38686
Dicrurus paradiseus,Greater Racket-tailed Drongo,37902
Amaurornis phoenicurus,White-breasted Waterhen,36227
Psilopogon haemacephalus,Coppersmith Barbet,35140
Motacilla maderaspatensis,White-browed Wagtail,34542
Saxicola caprata,Pied Bushchat,33819
Ardea intermedia,Intermediate Egret,32898
Ardea purpurea,Purple Heron,32838
Accipiter badius,Shikra,32764
Merops philippinus,Blue-tailed Bee-eater,32293
Passer domesticus,House Sparrow,31090
Turdoides striata,Jungle Babbler,30544
Threskiornis melanocephalus,Black-headed Ibis,30227
Oriolus kundoo,Indian Golden Oriole,30094
Oriolus xanthornus,Black-hooded Oriole,29065
Ardea cinerea,Gray Heron,28884
Copsychus fulicatus,Indian Robin,28481
Aegithina tiphia,Common Iora,27607
Pycnonotus luteolus,White-browed Bulbul,27519
Alcedo atthis,Common Kingfisher,26067
Porphyrio poliocephalus,Gray-headed Swamphen,25769
Ardea alba,Great Egret,25221
Prinia inornata,Plain Prinia,24878
Anhinga melanogaster,Oriental Darter,24517
Francolinus pondicerianus,Gray Francolin,24280
Coracias benghalensis,Indian Roller,24161
Anas poecilorhyncha,Indian Spot-billed Duck,23008
Actitis hypoleucos,Common Sandpiper,21994
Cecropis daurica,Red-rumped Swallow,21302
Dendrocygna javanica,Lesser Whistling-Duck,21274
Lonchura punctulata,Scaly-breasted Munia,21158
Tachybaptus ruficollis,Little Grebe,20657
Loriculus vernalis,Vernal Hanging-Parrot,20495
Dicrurus leucophaeus,Ashy Drongo,20393
Cinnyris lotenius,Loten's Sunbird,20391
Terpsiphone paradisi,Indian Paradise-Flycatcher,20375
Anastomus oscitans,Asian Openbill,20178
